id,name,url,path,crawled,error
1,Florence + the Machine,https://www.last.fm/music/Florence+%252B+the+Machine,/music/Florence+%252B+the+Machine,1,0
2,Lorde,https://www.last.fm/music/Lorde,/music/Lorde,1,0
3,Tove Lo,https://www.last.fm/music/Tove+Lo,/music/Tove+Lo,1,0
4,Lykke Li,https://www.last.fm/music/Lykke+Li,/music/Lykke+Li,1,0
5,Stars,https://www.last.fm/music/Stars,/music/Stars,1,0
6,Emily Haines &amp; The Soft Skeleton,https://www.last.fm/music/Emily+Haines+&amp;+The+Soft+Skeleton,/music/Emily+Haines+&amp;+The+Soft+Skeleton,1,0
7,The New Pornographers,https://www.last.fm/music/The+New+Pornographers,/music/The+New+Pornographers,1,0
8,Broken Social Scene,https://www.last.fm/music/Broken+Social+Scene,/music/Broken+Social+Scene,1,0
9,Taylor Swift,https://www.last.fm/music/Taylor+Swift,/music/Taylor+Swift,1,0
10,Halsey,https://www.last.fm/music/Halsey,/music/Halsey,1,0
11,Selena Gomez,https://www.last.fm/music/Selena+Gomez,/music/Selena+Gomez,1,0
12,Gordi,https://www.last.fm/music/Gordi,/music/Gordi,1,0
13,sad13,https://www.last.fm/music/sad13,/music/sad13,1,0
14,Stars and Rabbit,https://www.last.fm/music/Stars+and+Rabbit,/music/Stars+and+Rabbit,1,0
15,Wesley Gonzalez,https://www.last.fm/music/Wesley+Gonzalez,/music/Wesley+Gonzalez,1,0
16,Built for the Sea,https://www.last.fm/music/Built+for+the+Sea,/music/Built+for+the+Sea,1,0
17,Ten Out Of Tenn,https://www.last.fm/music/Ten+Out+Of+Tenn,/music/Ten+Out+Of+Tenn,1,0
18,Jen Woodhouse,https://www.last.fm/music/Jen+Woodhouse,/music/Jen+Woodhouse,1,0
19,Lindsay Rae Spurlock,https://www.last.fm/music/Lindsay+Rae+Spurlock,/music/Lindsay+Rae+Spurlock,1,0
20,Lana Del Rey,https://www.last.fm/music/Lana+Del+Rey,/music/Lana+Del+Rey,1,0
