artist_id,related_id
1,2
1,3
1,4
5,6
5,7
5,8
9,2
9,10
9,11
12,13
12,14
12,15
16,17
16,18
16,19
2,20
2,9
2,21
3,22
3,23
3,24
4,22
4,25
4,3
7,26
7,27
7,28
8,29
8,5
8,28
10,3
10,2
10,30
11,31
11,32
11,33
13,34
13,35
13,15
14,36
14,37
14,38
15,13
15,39
15,40
17,16
17,41
17,42
18,43
18,44
18,45
19,18
19,43
19,46
20,47
20,2
20,48
21,49
21,50
21,51
22,52
22,3
22,4
23,53
23,25
23,54
24,55
24,56
24,57
25,23
25,58
25,59
26,7
26,27
26,60
27,7
27,61
27,26
28,62
28,63
28,64
29,65
29,8
29,66
30,67
30,68
30,2
32,69
32,31
32,70
33,71
33,72
33,73
34,14
34,38
34,74
35,14
35,75
35,76
37,14
37,77
37,78
38,79
38,14
38,34
39,80
39,40
39,81
40,39
40,81
40,82
41,83
41,84
41,85
42,17
42,86
42,41
43,18
43,46
43,87
44,45
44,87
44,88
45,44
45,89
45,88
46,45
46,44
46,43
47,20
47,4
47,90
48,20
48,30
48,91
49,92
49,21
49,93
50,51
50,94
50,21
51,50
51,95
51,96
52,97
52,22
52,98
53,99
53,100
53,101
54,23
54,102
54,103
55,104
55,24
55,57
56,105
56,24
56,106
57,107
57,108
57,109
58,25
58,100
58,110
59,111
59,23
59,112
60,113
60,114
60,26
61,115
61,116
61,117
62,64
62,28
62,63
63,28
63,62
63,115
64,62
64,28
64,118
65,29
65,8
65,66
66,119
66,8
66,29
67,30
67,120
67,121
68,122
68,9
68,123
69,124
69,125
69,126
70,127
70,128
70,129
71,33
71,130
71,131
72,33
72,132
72,133
73,33
73,134
73,103
74,14
74,36
74,34
75,135
75,35
75,136
76,14
76,137
76,35
77,37
77,14
77,38
78,37
78,14
78,34
79,138
79,137
79,139
80,39
80,140
80,141
81,39
81,142
81,143
82,39
82,14
82,40
83,41
83,144
83,145
84,146
84,41
84,147
85,148
85,149
85,84
86,150
86,151
86,84
87,44
87,89
87,88
88,44
88,45
88,87
89,44
89,152
89,153
90,20
90,52
90,154
91,20
91,59
91,155
92,156
92,49
92,93
93,157
93,156
93,92
94,158
94,50
94,159
95,160
95,51
95,161
96,162
96,51
96,102
97,154
97,163
97,52
98,52
98,102
98,164
99,53
99,101
99,165
100,166
100,167
100,168
101,169
101,165
101,170
102,171
102,172
102,54
103,73
103,173
103,174
104,55
104,56
104,24
105,56
105,106
105,24
106,175
106,176
106,177
108,132
108,57
108,24
110,100
110,178
110,167
111,179
111,23
111,3
112,180
112,181
112,58
113,182
113,183
113,184
114,185
114,186
114,60
115,61
115,28
115,63
116,61
116,187
116,28
117,187
117,188
117,189
118,64
118,190
118,62
119,66
119,8
119,29
121,158
121,191
121,192
122,193
122,68
122,194
123,195
123,158
123,68
124,69
124,196
124,125
125,69
125,197
125,196
126,198
126,199
126,69
127,70
127,128
127,200
128,129
128,70
128,201
129,128
129,201
129,70
131,202
131,203
131,204
132,108
132,72
132,24
134,205
134,206
134,207
135,75
135,208
135,36
136,209
136,14
136,15
137,79
137,210
137,211
138,79
138,137
138,139
139,79
139,212
139,138
140,39
140,80
140,141
141,213
141,39
141,80
142,143
142,81
142,214
143,81
143,142
143,214
144,83
144,41
144,147
145,215
145,147
145,216
146,147
146,84
146,217
147,218
147,146
147,219
148,85
148,218
148,83
150,84
150,86
150,220
151,221
151,86
151,222
152,153
152,223
152,89
153,223
153,152
153,224
154,97
154,225
154,52
156,92
156,93
156,157
157,93
157,156
157,92
158,159
158,226
158,94
159,158
159,227
159,94
160,95
160,228
160,229
162,230
162,231
162,96
163,97
163,225
163,154
164,98
164,232
164,233
165,101
165,169
165,170
166,100
166,234
166,235
167,100
167,236
167,237
168,238
168,239
168,100
169,101
169,165
169,240
170,101
170,165
170,169
171,102
171,3
171,22
172,241
172,242
172,243
173,244
173,245
173,246
174,247
174,134
174,128
175,177
175,176
175,106
176,248
176,249
176,106
177,175
177,176
177,250
178,251
178,252
178,110
179,253
179,254
179,111
180,112
180,48
180,181
181,112
181,48
181,255
182,113
182,256
182,184
183,113
183,182
183,257
184,256
184,258
184,259
185,260
185,261
185,262
186,263
186,264
186,114
187,117
187,265
187,266
188,267
188,117
188,189
189,268
189,269
189,117
190,118
190,62
190,270
191,121
191,192
191,271
192,272
192,121
192,191
